months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,policy_age_days,incident_month,incident_dayofweek,claim_to_premium_ratio,injury_claim_ratio,property_claim_ratio,vehicle_claim_ratio,no_witness_high_severity,no_police_but_injury,collision_type_missing,property_damage_missing,police_report_available_missing
84,30,IL,500/1000,2000,1035.79,0,FEMALE,MD,protective-serv,kayaking,wife,44400,-51500,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,9,1,NO,1,0,YES,57640,5240,10480,41920,Volkswagen,Passat,2010,0,4246,1,4,55.64834570714141,0.09090909090909091,0.18181818181818182,0.7272727272727273,0,0,0,0,0
394,57,IL,250/500,500,1401.2,0,FEMALE,High School,craft-repair,movies,own-child,51500,0,Vehicle Theft,,Trivial Damage,Police,NC,Hillsdale,9,1,NO,1,0,NO,6890,1060,1060,4770,Audi,A5,1999,0,5780,1,6,4.917213816728518,0.15384615384615385,0.15384615384615385,0.6923076923076923,0,1,1,0,0
246,45,IL,250/500,1000,1665.45,0,MALE,JD,machine-op-inspct,hiking,wife,34400,-33100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,9,3,,2,2,,53280,11840,5920,35520,Toyota,Camry,2006,1,5839,1,3,31.99135368819238,0.2222222222222222,0.1111111111111111,0.6666666666666666,0,0,0,1,1
35,29,IN,500/1000,2000,653.66,0,FEMALE,JD,handlers-cleaners,video-games,unmarried,52100,-46900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,22,3,NO,0,0,,78300,15660,7830,54810,BMW,X5,2009,0,1279,2,1,119.78704525288377,0.2,0.1,0.7,0,0,0,0,1
156,37,OH,100/300,500,1080.13,0,MALE,Associate,protective-serv,reading,other-relative,0,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,15,3,YES,0,3,NO,41490,4610,4610,32270,Nissan,Pathfinder,2001,0,1651,1,6,38.412042994824695,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0,0,0,0
195,36,IN,100/300,2000,1346.18,0,FEMALE,Associate,machine-op-inspct,camping,wife,57800,-53300,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,14,3,YES,2,3,YES,68970,12540,6270,50160,Chevrolet,Tahoe,2007,0,4859,2,2,51.23386174211472,0.18181818181818182,0.09090909090909091,0.7272727272727273,0,0,0,0,0
369,55,OH,250/500,2000,1589.54,0,MALE,College,handlers-cleaners,camping,husband,55400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,6,3,,2,0,YES,85300,17060,8530,59710,Toyota,Highlander,2003,0,652,1,1,53.66332398052267,0.2,0.1,0.7,0,0,0,1,0
271,40,IL,100/300,1000,1251.65,0,FEMALE,Associate,other-service,camping,wife,71200,0,Parked Car,,Minor Damage,,NY,Hillsdale,6,1,NO,0,0,NO,3080,560,280,2240,Audi,A3,2012,0,7014,2,3,2.4607518076139496,0.18181818181818182,0.09090909090909091,0.7272727272727273,0,0,1,0,0
332,47,IL,100/300,2000,1083.01,0,MALE,MD,craft-repair,paintball,other-relative,91900,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,22,4,YES,2,0,,71760,11040,11040,49680,Jeep,Grand Cherokee,2010,1,8492,1,5,66.25977599468149,0.15384615384615385,0.15384615384615385,0.6923076923076923,1,0,0,0,1
107,26,OH,100/300,500,974.59,0,FEMALE,JD,armed-forces,skydiving,wife,62800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,14,3,,1,0,NO,59700,11940,11940,35820,Nissan,Ultima,2002,0,244,1,6,61.25652838629578,0.2,0.2,0.6,0,1,0,1,0
217,39,IL,500/1000,2000,1399.85,0,FEMALE,Masters,other-service,skydiving,other-relative,49900,-19800,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,16,3,NO,0,2,,64920,10820,10820,43280,Ford,Fusion,1997,0,8336,1,5,46.376397471157624,0.16666666666666666,0.16666666666666666,0.6666666666666666,0,0,0,0,1
243,43,IN,500/1000,500,1307.74,0,FEMALE,Associate,machine-op-inspct,board-games,own-child,0,-75700,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,10,3,,0,1,NO,37530,4170,4170,29190,Jeep,Wrangler,2008,0,3281,1,2,28.69836511844862,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0,0,1,0
296,42,IN,250/500,2000,1219.27,0,MALE,Associate,tech-support,paintball,husband,53100,-63400,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,9,3,YES,1,2,NO,64080,7120,7120,49840,Saab,93,2012,0,4355,2,0,52.55603762907313,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,1,0,0,0
264,41,OH,100/300,500,1411.3,0,MALE,PhD,prof-specialty,cross-fit,unmarried,55600,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4,1,NO,1,0,,60390,10980,5490,43920,BMW,M5,2004,1,4498,2,6,42.79033515198753,0.18181818181818182,0.09090909090909091,0.7272727272727273,0,0,0,0,1
108,33,IL,100/300,2000,694.45,0,FEMALE,JD,armed-forces,exercise,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,6,3,,0,1,YES,64350,5850,11700,46800,Nissan,Pathfinder,2011,1,9124,1,1,92.66325869393044,0.09090909090909091,0.18181818181818182,0.7272727272727273,0,0,0,1,0
32,38,IL,100/300,500,1006.77,6000000,FEMALE,College,other-service,sleeping,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,15,3,YES,2,1,YES,70900,14180,7090,49630,BMW,X6,1997,0,1793,2,4,70.42323470107374,0.2,0.1,0.7,0,0,0,0,0
259,39,OH,250/500,1000,1422.36,0,FEMALE,JD,craft-repair,movies,unmarried,0,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,12,3,NO,1,3,,46560,7760,7760,31040,Nissan,Ultima,2012,0,7067,1,5,32.734328861891505,0.16666666666666666,0.16666666666666666,0.6666666666666666,0,0,0,0,1
186,33,IN,100/300,1000,1348.32,0,FEMALE,Associate,craft-repair,cross-fit,wife,37600,-37600,Vehicle Theft,,Trivial Damage,Police,NY,Arlington,3,1,NO,2,1,,4730,860,860,3010,Chevrolet,Malibu,2013,1,1782,1,2,3.5080693010561292,0.18181818181818182,0.18181818181818182,0.6363636363636364,0,0,1,0,1
201,40,OH,250/500,2000,1315.56,0,FEMALE,PhD,transport-moving,video-games,not-in-family,0,0,Vehicle Theft,,Minor Damage,Police,SC,Northbrook,14,1,YES,0,0,YES,6820,1240,1240,4340,Jeep,Grand Cherokee,2003,0,8453,2,2,5.184104107756393,0.18181818181818182,0.18181818181818182,0.6363636363636364,0,0,1,0,0
436,58,OH,250/500,2000,1407.01,5000000,MALE,PhD,tech-support,sleeping,other-relative,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,10,1,,0,2,,59900,11980,5990,41930,BMW,X5,1997,1,4638,1,5,42.572547458795604,0.2,0.1,0.7,0,0,0,1,1
189,36,OH,250/500,2000,1388.58,0,FEMALE,MD,priv-house-serv,basketball,own-child,0,-49400,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,17,3,,1,3,YES,79560,13260,13260,53040,Ford,Escape,2009,0,2848,2,4,57.29594261763817,0.16666666666666666,0.16666666666666666,0.6666666666666666,0,0,0,1,0
105,33,IL,500/1000,500,1310.76,0,FEMALE,High School,adm-clerical,kayaking,not-in-family,0,-40900,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,8,1,YES,0,1,,70290,12780,6390,51120,Accura,MDX,2008,0,6798,2,1,53.625377643504535,0.18181818181818182,0.09090909090909091,0.7272727272727273,0,0,0,0,1
163,31,IN,100/300,1000,1004.63,6000000,MALE,JD,priv-house-serv,hiking,not-in-family,26900,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,14,3,YES,2,0,NO,63910,5810,11620,46480,Suburu,Forrestor,1999,0,4664,1,2,63.61546041826344,0.09090909090909091,0.18181818181818182,0.7272727272727273,1,1,0,0,0
219,40,OH,100/300,500,1134.91,0,FEMALE,Associate,transport-moving,golf,not-in-family,68700,0,Vehicle Theft,,Trivial Damage,,SC,Riverwood,6,1,,1,0,NO,6400,640,640,5120,Toyota,Camry,1997,0,3014,1,3,5.639213682142196,0.1,0.1,0.8,0,1,1,1,0
88,25,IN,250/500,1000,1194.0,0,FEMALE,JD,handlers-cleaners,movies,husband,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,6,1,YES,1,2,YES,66780,7420,7420,51940,Ford,Escape,2013,1,2668,2,4,55.92964824120603,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0,0,0,0
40,39,IN,500/1000,1000,1248.25,4000000,FEMALE,College,sales,hiking,own-child,0,-33300,Parked Car,,Minor Damage,Police,VA,Northbrook,8,1,NO,0,2,,8760,1460,1460,5840,BMW,3 Series,2013,0,5058,2,6,7.017824954936912,0.16666666666666666,0.16666666666666666,0.6666666666666666,0,0,1,0,1
284,42,OH,100/300,500,1338.54,-1000000,MALE,Associate,machine-op-inspct,kayaking,wife,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,13,1,YES,0,1,,94160,8560,17120,68480,Chevrolet,Malibu,1996,0,7210,1,3,70.34530159726269,0.09090909090909091,0.18181818181818182,0.7272727272727273,0,0,0,0,1
59,40,IL,250/500,2000,782.23,0,MALE,College,protective-serv,golf,other-relative,64200,-32300,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,0,3,,0,2,NO,51570,5730,11460,34380,BMW,X5,2010,0,1227,2,4,65.92690129501553,0.1111111111111111,0.2222222222222222,0.6666666666666666,0,0,0,1,0
39,31,IL,250/500,2000,1366.9,0,FEMALE,High School,handlers-cleaners,polo,husband,0,-15700,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,14,3,,1,0,NO,52700,10540,10540,31620,BMW,X6,2014,1,4383,1,2,38.55439315238861,0.2,0.2,0.6,1,1,0,1,0
147,34,IL,500/1000,1000,1275.81,0,MALE,High School,sales,dancing,wife,0,-48300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,13,1,YES,2,2,,101010,15540,15540,69930,Mercedes,ML350,1998,0,1450,1,2,79.17323112375668,0.15384615384615385,0.15384615384615385,0.6923076923076923,0,0,0,0,1
156,37,IN,250/500,500,1090.65,0,MALE,High School,exec-managerial,golf,unmarried,0,-51800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,16,4,,1,2,YES,53400,5340,5340,42720,Honda,Civic,2010,1,8011,1,4,48.96162838674185,0.1,0.1,0.8,0,0,0,1,0
123,31,IN,250/500,500,1326.0,0,FEMALE,Associate,prof-specialty,basketball,wife,0,-54600,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,13,1,,1,2,NO,72120,12020,12020,48080,Mercedes,ML350,2009,0,3483,2,1,54.38914027149321,0.16666666666666666,0.16666666666666666,0.6666666666666666,0,1,0,1,0
231,43,IL,250/500,2000,972.47,0,MALE,College,protective-serv,reading,wife,0,-58100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,15,3,YES,2,2,YES,77100,7710,15420,53970,Audi,A3,2010,0,3151,2,6,79.28265139284503,0.1,0.2,0.7,0,0,0,0,0
247,39,IL,100/300,500,806.31,0,FEMALE,College,handlers-cleaners,dancing,wife,0,0,Parked Car,,Trivial Damage,Police,SC,Northbend,3,1,,2,3,,3300,600,0,2700,Dodge,RAM,2003,0,7750,2,2,4.092718681400454,0.18181818181818182,0.0,0.8181818181818182,0,0,1,1,1
194,35,IL,500/1000,500,1416.24,0,FEMALE,MD,adm-clerical,golf,not-in-family,0,0,Parked Car,,Minor Damage,,WV,Northbend,7,1,YES,1,0,,5940,1080,540,4320,Nissan,Pathfinder,2003,0,1079,2,3,4.194204372140315,0.18181818181818182,0.09090909090909091,0.7272727272727273,0,0,1,0,1
119,27,IN,250/500,2000,1097.64,0,MALE,High School,transport-moving,video-games,other-relative,27100,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,16,2,NO,1,0,,63720,7080,21240,35400,Accura,TL,2006,0,6394,2,4,58.05182026894063,0.1111111111111111,0.3333333333333333,0.5555555555555556,1,0,0,0,1
259,43,IL,100/300,500,947.75,0,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,0,-39300,Vehicle Theft,,Trivial Damage,Police,SC,Riverwood,15,1,NO,1,3,NO,7680,1280,640,5760,Audi,A5,2008,0,2039,2,1,8.103402796096017,0.16666666666666666,0.08333333333333333,0.75,0,1,1,0,0
107,31,IL,100/300,2000,1018.73,5000000,MALE,Associate,handlers-cleaners,yachting,own-child,20000,-82700,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,21,3,YES,1,2,,93730,14420,21630,57680,Honda,CRV,2001,0,7368,1,1,92.0067142422428,0.15384615384615385,0.23076923076923078,0.6153846153846154,0,0,0,0,1
48,44,IL,100/300,2000,1400.74,0,MALE,College,sales,base-jumping,other-relative,34000,-55600,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,23,3,YES,0,2,,87300,17460,17460,52380,Jeep,Wrangler,2013,0,6561,1,2,62.32420006567957,0.2,0.2,0.6,0,0,0,0,1
267,40,IL,250/500,500,1155.53,5000000,MALE,JD,transport-moving,camping,wife,0,-35200,Parked Car,,Trivial Damage,Police,NY,Columbus,5,1,,0,2,NO,5670,1260,630,3780,Ford,F150,1997,0,1933,1,5,4.906839285868823,0.2222222222222222,0.1111111111111111,0.6666666666666666,0,0,1,1,0
286,47,IN,250/500,500,1386.93,0,MALE,High School,priv-house-serv,bungie-jumping,husband,54100,-77600,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,15,3,YES,0,0,NO,65800,13160,6580,46060,Accura,TL,2001,0,4441,1,5,47.442913485179496,0.2,0.1,0.7,0,0,0,0,0
175,34,OH,100/300,500,915.29,0,FEMALE,JD,handlers-cleaners,base-jumping,wife,82400,-57100,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,14,1,,2,1,YES,36720,4080,4080,28560,Honda,Accord,2009,1,7210,2,0,40.1184324094003,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0,0,1,0
111,29,IL,250/500,500,1239.55,2000000,FEMALE,PhD,farming-fishing,kayaking,own-child,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverwood,1,1,,1,1,YES,52800,4800,9600,38400,Mercedes,ML350,1996,1,1448,1,4,42.59610342462991,0.09090909090909091,0.18181818181818182,0.7272727272727273,0,0,0,1,0
151,37,IN,250/500,500,1366.42,0,FEMALE,Associate,protective-serv,cross-fit,unmarried,44000,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,14,3,NO,1,2,YES,59100,5910,5910,47280,Nissan,Maxima,1998,1,850,2,6,43.251708845011045,0.1,0.1,0.8,0,0,0,0,0
156,37,OH,500/1000,1000,1086.48,6000000,MALE,Associate,machine-op-inspct,hiking,unmarried,0,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,17,3,,1,1,YES,77440,14080,7040,56320,Suburu,Legacy,1999,0,8496,1,4,71.27604741918857,0.18181818181818182,0.09090909090909091,0.7272727272727273,0,0,0,1,0
165,36,IL,250/500,2000,1247.87,0,MALE,Masters,armed-forces,golf,husband,0,-39700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,20,3,NO,2,2,NO,45700,4570,4570,36560,BMW,3 Series,2008,0,1566,1,2,36.62240457739989,0.1,0.1,0.8,0,1,0,0,0
253,41,OH,100/300,2000,1312.75,0,FEMALE,PhD,sales,dancing,other-relative,81300,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,10,3,NO,2,2,YES,80740,7340,14680,58720,Toyota,Camry,2014,1,631,1,3,61.50447533803085,0.09090909090909091,0.18181818181818182,0.7272727272727273,0,0,0,0,0
10,26,IN,100/300,2000,765.64,0,MALE,MD,sales,base-jumping,not-in-family,0,-22200,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Northbrook,3,3,,0,3,,31350,2850,5700,22800,Honda,Accord,2001,1,2441,2,0,40.9461365654877,0.09090909090909091,0.18181818181818182,0.7272727272727273,0,0,0,1,1
158,33,OH,100/300,2000,1327.41,0,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,0,-38600,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Hillsdale,0,1,,0,0,,35000,3500,7000,24500,Suburu,Legacy,2012,0,396,1,6,26.367136001687495,0.1,0.2,0.7,1,0,0,1,1
436,59,OH,500/1000,1000,1338.55,0,MALE,PhD,protective-serv,board-games,own-child,39000,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,10,3,,2,2,NO,68000,13600,6800,47600,Toyota,Corolla,2014,0,1605,1,0,50.80124014792126,0.2,0.1,0.7,0,1,0,1,0
91,30,IL,250/500,2000,1316.63,8000000,FEMALE,Masters,machine-op-inspct,golf,unmarried,43900,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,13,3,YES,2,0,,84500,13000,13000,58500,BMW,X6,2009,0,1665,1,3,64.17900245323287,0.15384615384615385,0.15384615384615385,0.6923076923076923,0,0,0,0,1
256,42,IL,500/1000,1000,1286.44,0,FEMALE,MD,transport-moving,bungie-jumping,wife,0,-39500,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Northbend,14,1,NO,2,1,,75500,7550,15100,52850,Nissan,Ultima,1998,0,8322,1,3,58.68909548832436,0.1,0.2,0.7,0,0,0,0,1
274,46,OH,500/1000,1000,1372.18,0,MALE,High School,exec-managerial,bungie-jumping,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Riverwood,22,3,NO,1,3,,90600,15100,15100,60400,BMW,X5,2009,0,6553,1,1,66.02632307714731,0.16666666666666666,0.16666666666666666,0.6666666666666666,0,0,0,0,1
275,45,IN,500/1000,2000,1447.77,0,FEMALE,Associate,adm-clerical,camping,wife,39400,-63900,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Northbend,8,3,YES,1,1,,64320,5360,10720,48240,Accura,MDX,1998,0,8444,1,6,44.426946269089704,0.08333333333333333,0.16666666666666666,0.75,0,0,0,0,1
1,33,IL,250/500,500,903.32,0,FEMALE,High School,transport-moving,yachting,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,1,3,,1,0,,31700,6340,3170,22190,Toyota,Highlander,2006,0,7062,1,0,35.092768896957885,0.2,0.1,0.7,0,0,0,1,1
85,30,IN,500/1000,1000,1454.42,0,MALE,Associate,protective-serv,reading,other-relative,51600,-73900,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,19,1,YES,0,1,YES,74280,12380,12380,49520,Suburu,Forrestor,2006,1,7764,1,5,51.07190495180209,0.16666666666666666,0.16666666666666666,0.6666666666666666,0,0,0,0,0
233,37,IL,100/300,2000,1603.42,0,FEMALE,High School,sales,video-games,wife,61600,-30200,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,17,1,YES,0,2,YES,80520,13420,6710,60390,Toyota,Corolla,2005,0,8496,2,4,50.2176597522795,0.16666666666666666,0.08333333333333333,0.75,0,0,0,0,0
142,30,IN,250/500,2000,1616.58,0,MALE,JD,adm-clerical,polo,husband,58500,-46800,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Hillsdale,13,3,YES,0,3,YES,63600,6360,12720,44520,Dodge,RAM,2010,0,4593,2,2,39.34231525813755,0.1,0.2,0.7,0,0,0,0,0
266,44,IL,250/500,500,1611.83,0,MALE,High School,handlers-cleaners,movies,husband,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Riverwood,4,1,,1,2,YES,32800,3280,3280,26240,BMW,3 Series,2012,0,5505,1,4,20.349540584304798,0.1,0.1,0.8,0,0,0,1,0
350,50,OH,500/1000,500,889.13,0,FEMALE,Masters,priv-house-serv,board-games,other-relative,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,PA,Northbend,14,3,NO,0,2,NO,44190,9820,4910,29460,Audi,A3,2015,0,3527,2,3,49.700268802087436,0.2222222222222222,0.1111111111111111,0.6666666666666666,0,0,0,0,0
97,26,IL,250/500,1000,1252.08,0,MALE,College,exec-managerial,sleeping,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,VA,Springfield,4,2,YES,2,2,NO,50400,10080,5040,35280,Honda,CRV,2000,1,8497,2,6,40.253018976423235,0.2,0.1,0.7,0,1,0,0,0
399,55,IL,500/1000,2000,995.56,0,MALE,JD,tech-support,sleeping,not-in-family,0,-65400,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Northbend,23,3,YES,1,1,YES,88400,17680,8840,61880,Nissan,Pathfinder,2010,0,7969,2,5,88.7942464542569,0.2,0.1,0.7,0,0,0,0,0
305,49,IL,100/300,2000,1347.92,0,FEMALE,High School,farming-fishing,bungie-jumping,own-child,0,-42100,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Hillsdale,21,3,YES,0,2,,66550,12100,6050,48400,Volkswagen,Jetta,2003,0,2004,2,1,49.3723663125408,0.18181818181818182,0.09090909090909091,0.7272727272727273,0,0,0,0,1
276,47,IN,100/300,1000,1724.09,0,MALE,PhD,craft-repair,yachting,own-child,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,23,3,YES,0,0,,65780,5980,11960,47840,Chevrolet,Tahoe,2014,0,7878,1,0,38.15346066620652,0.09090909090909091,0.18181818181818182,0.7272727272727273,0,0,0,0,1
257,40,IN,250/500,500,1379.93,0,MALE,MD,armed-forces,base-jumping,husband,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,NY,Columbus,6,3,,0,2,YES,51810,9420,4710,37680,Audi,A3,2002,1,929,2,6,37.545382736805486,0.18181818181818182,0.09090909090909091,0.7272727272727273,0,0,0,1,0
78,31,IN,250/500,1000,1554.64,4000000,MALE,PhD,protective-serv,board-games,own-child,0,-27900,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,21,1,NO,1,0,NO,55660,5060,10120,40480,Honda,CRV,2009,1,5853,2,1,35.80250090053002,0.09090909090909091,0.18181818181818182,0.7272727272727273,1,1,0,0,0
129,28,OH,500/1000,1000,1377.94,0,MALE,Masters,machine-op-inspct,base-jumping,not-in-family,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,23,1,,2,3,,44640,9920,4960,29760,Toyota,Camry,2005,0,9129,2,5,32.39618561040393,0.2222222222222222,0.1111111111111111,0.6666666666666666,0,0,0,1,1
283,46,IL,500/1000,2000,1313.33,0,FEMALE,PhD,transport-moving,reading,husband,53500,-73600,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,3,3,,1,3,NO,77660,7060,14120,56480,Nissan,Maxima,2004,1,5245,1,4,59.132129776979134,0.09090909090909091,0.18181818181818182,0.7272727272727273,0,1,0,1,0
85,25,IN,250/500,500,1259.02,0,FEMALE,JD,tech-support,base-jumping,unmarried,67000,-53600,Parked Car,,Trivial Damage,,SC,Northbend,8,1,NO,2,2,,5640,940,940,3760,Nissan,Ultima,2005,0,2357,2,0,4.4796746675986086,0.16666666666666666,0.16666666666666666,0.6666666666666666,0,0,1,0,1
101,26,IL,500/1000,1000,1371.88,0,FEMALE,MD,prof-specialty,reading,husband,0,0,Parked Car,,Trivial Damage,,VA,Arlington,4,1,,2,2,,3190,580,580,2030,Suburu,Legacy,1995,0,8587,2,2,2.32527626323002,0.18181818181818182,0.18181818181818182,0.6363636363636364,0,0,1,1,1
96,30,OH,100/300,500,1399.27,6000000,MALE,College,prof-specialty,hiking,wife,38900,-48700,Single Vehicle Collision,Side Collision,Total Loss,Fire,NC,Arlington,22,1,,0,0,YES,53440,0,6680,46760,Ford,Escape,2004,0,4900,2,1,38.19134262865637,0.0,0.125,0.875,1,0,0,1,0
121,31,IL,500/1000,1000,1061.98,6000000,FEMALE,JD,armed-forces,camping,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Hillsdale,16,1,NO,0,1,YES,65250,7250,7250,50750,BMW,3 Series,2002,0,2884,2,6,61.44183506280721,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0,0,0,0
176,39,OH,250/500,500,1365.46,4000000,MALE,College,armed-forces,sleeping,unmarried,0,-56600,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Columbus,14,3,NO,2,1,NO,44280,4920,4920,34440,Chevrolet,Silverado,2008,0,1538,2,3,32.4286321093258,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,1,0,0,0
159,37,IL,500/1000,1000,894.4,0,MALE,Associate,tech-support,camping,wife,0,-53700,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Springfield,13,1,YES,2,0,NO,70290,7810,7810,54670,Dodge,RAM,1999,0,5976,1,2,78.58899821109124,0.1111111111111111,0.1111111111111111,0.7777777777777778,1,1,0,0,0
120,30,IN,250/500,500,956.69,0,FEMALE,Associate,priv-house-serv,movies,husband,39600,-64300,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,Hillsdale,20,1,,1,1,YES,87100,8710,8710,69680,Saab,92x,2000,0,4588,2,4,91.04307560442776,0.1,0.1,0.8,0,0,0,1,0
212,35,IN,500/1000,2000,1123.89,0,MALE,MD,priv-house-serv,video-games,unmarried,35400,-49200,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,0,3,,1,3,,50380,4580,4580,41220,Suburu,Forrestor,1996,0,9033,1,2,44.82645098719625,0.09090909090909091,0.09090909090909091,0.8181818181818182,0,0,0,1,1
290,45,IL,100/300,500,1085.03,0,FEMALE,JD,sales,cross-fit,wife,0,-61000,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Arlington,23,3,YES,2,2,NO,64800,12960,6480,45360,Audi,A3,2014,1,6237,3,6,59.72185100872787,0.2,0.1,0.7,0,1,0,0,0
299,42,OH,100/300,2000,1437.33,0,FEMALE,Associate,craft-repair,movies,wife,25000,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,13,1,YES,1,3,NO,70400,12800,12800,44800,BMW,3 Series,2000,0,2410,2,1,48.97970542603299,0.18181818181818182,0.18181818181818182,0.6363636363636364,0,1,0,0,0
66,26,IL,250/500,1000,988.29,0,MALE,College,armed-forces,skydiving,own-child,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Northbend,8,1,,2,2,YES,57860,0,10520,47340,Suburu,Impreza,2008,1,5925,2,0,58.545568608404416,0.0,0.18181818181818182,0.8181818181818182,0,0,0,1,0
334,47,IL,500/1000,500,1238.89,0,MALE,Masters,protective-serv,sleeping,other-relative,0,0,Vehicle Theft,,Minor Damage,,WV,Northbend,3,1,,0,3,NO,6240,960,960,4320,Ford,Fusion,2011,0,5000,1,5,5.036766783168804,0.15384615384615385,0.15384615384615385,0.6923076923076923,0,0,1,1,0
